username;tg_url;name;description;subscribers;tgstat_url;peer_type
designhunters;https://t.me/s/designhunters;Design Hunters;Вакансии для дизайнеров.;77964;https://tgstat.ru/channel/@designhunters;channel
rueventjob;https://t.me/s/rueventjob;Удаленка - вся творческая работа;Бесплатно публикуем вакансии творческой сферы;77262;https://tgstat.ru/channel/@rueventjob;channel
jobforjunior;https://t.me/s/jobforjunior;Job for Junior;Вакансии для начинающих специалистов в IT&Digital.;74099;https://tgstat.ru/channel/@jobforjunior;channel
tbank_team;https://t.me/s/tbank_team;Т-Банк: работа с клиентами;Рассказываем о работе в Т-Банке для тех, кто хочет помогать клиентам и строить карьеру в крупной компании;72732;https://tgstat.ru/channel/@tbank_team;channel
morejobs;https://t.me/s/morejobs;Больше джобсов;Канал о работе в маркетинге и рекламе. Пишите нам на @karinasstar. Требования: принимаем вакансии только из сферы «маркетинг, реклама и PR»;71752;https://tgstat.ru/channel/@morejobs;channel
worklis;https://t.me/s/worklis;worklis | Ежедневная подработка;Вакансии для профессионалов в своём деле.;70218;https://tgstat.ru/channel/@worklis;channel
zdemcv;https://t.me/s/zdemcv;Ждём резюме l Лайфхакер;Вакансии в диджитале и медиа от @lifehackerru.;69439;https://tgstat.ru/channel/@zdemcv;channel
mos_rabota777;https://t.me/s/mos_rabota777;Работа в Москве;Работа в Москве, Новости, Объявления;67944;https://tgstat.ru/channel/@mos_rabota777;channel
alfadigital_jobs;https://t.me/s/alfadigital_jobs;Alfa Digital;Рассказываем о работе в IT и Digital в Альфа-Банке, делимся интересными вакансиями, новостями и полезными советами, иногда шутим;67153;https://tgstat.ru/channel/@alfadigital_jobs;channel
young_june;https://t.me/s/young_june;Young & Junior - вакансии IT;Young - агрегатор вакансий для джунов в РФ, СНГ.;66196;https://tgstat.ru/channel/@young_june;channel
naudalenkebro;https://t.me/s/naudalenkebro;Удаленка 2.0 | Finder.work;Вакансии на удалёнку.;63855;https://tgstat.ru/channel/@naudalenkebro;channel
edujobs;https://t.me/s/edujobs;Вакансии в образовании;Место, где встречаются лучшие люди из мира образования.;63071;https://tgstat.ru/channel/@edujobs;channel
workinart;https://t.me/s/workinart;[WORK IN ART] Работа в сфере искусства;Вакансии и возможности в сфере дизайна, культуры и искусства;62602;https://tgstat.ru/channel/@workinart;channel
forproducts;https://t.me/s/forproducts;Job for Products and Projects;Вакансии для Продакт менеджеров, продакт овнеров и проджект менеджеров, CPO.;60010;https://tgstat.ru/channel/@forproducts;channel
workoo;https://t.me/s/workoo;Ворку | Подработка удаленно;Удаленная работа для специалистов в своё деле.;58814;https://tgstat.ru/channel/@workoo;channel
freelancce;https://t.me/s/freelancce;ФРИЛАНС | ВАКАНСИИ | УДАЛЕНКА;РКН: https://clck.ru/3HCiJd;55011;https://tgstat.ru/channel/@freelancce;channel
fashionfaculty;https://t.me/s/fashionfaculty;Вакансии. «Модный факультет»;Работа в моде, медиа, pr и smm;54911;https://tgstat.ru/channel/@fashionfaculty;channel
marketing_jobs;https://t.me/s/marketing_jobs;🎯 marketing jobs — вакансии для маркетологов;Вакансии для маркетологов, пиарщиков, рекламщиков, AI и digital-специалистов;54792;https://tgstat.ru/channel/@marketing_jobs;channel
designbirzha;https://t.me/s/designbirzha;Дизайн-биржа 💵;Главный источник заказов для дизайнеров в телеграме.;54739;https://tgstat.ru/channel/@designbirzha;channel
distantsiya;https://t.me/s/distantsiya;Дистанция;№ 4949520236;54497;https://tgstat.ru/channel/@distantsiya;channel
vdhl_good;https://t.me/s/vdhl_good;ВДХЛ - Вакансии для хороших людей;Вакансии в Москве и Санкт-Петербурге в сферах: Медиа, Дизайна, Креатива, Маркетинга, Рекламы и PR. РКН: https://clck.ru/3G3DhJ;54066;https://tgstat.ru/channel/@vdhl_good;channel
yojob;https://t.me/s/yojob;Dream Job - Вакансии;Лучшие вакансии в крупных международных и российских компаниях;48953;https://tgstat.ru/channel/@yojob;channel
rabotav_tomsk;https://t.me/s/rabotav_tomsk;Работа и вакансии в Томске;Реальная работа в Томске прямо сейчас;47492;https://tgstat.ru/channel/@rabotav_tomsk;channel
udafrii;https://t.me/s/udafrii;Удалённо - Работа и вакансии;РКН: https://clck.ru/3HCh2T;46318;https://tgstat.ru/channel/@udafrii;channel
Remoteit;https://t.me/s/Remoteit;Remote IT (Inflow);Вакансии и проекты на удаленку для it специалистов. Продажников не публикуем их нет. Спасибо за внимание.;45607;https://tgstat.ru/channel/@Remoteit;channel
geekjobs;https://t.me/s/geekjobs;Job in IT&Digital;Лучшие вакансии в IT & Digital;45130;https://tgstat.ru/channel/@geekjobs;channel
polyaluzjob;https://t.me/s/polyaluzjob;ФРИЛАНСИКИ;Правила публикации →;42810;https://tgstat.ru/channel/@polyaluzjob;channel
jobpower;https://t.me/s/jobpower;Jobpower – креативные вакансии, работа в творческих сферах;Условия размещения:;41255;https://tgstat.ru/channel/@jobpower;channel
BROOTTO_Jobs;https://t.me/s/BROOTTO_Jobs;Работа в Израиле;Работа в Израиле, Прямое Трудоустройство.;41028;https://tgstat.com/ru/channel/@BROOTTO_Jobs;channel
gamedevjob;https://t.me/s/gamedevjob;Работа в геймдеве 🍖;Разместить вакансию/резюме: @gamedevHR_bot (оплата и продвижение доступны через бот);40599;https://tgstat.ru/channel/@gamedevjob;channel
Well_paid_Job;https://t.me/s/Well_paid_Job;Вакансии с зп выше 50 тысяч;Хороший специалист должен хорошо зарабатывать. «Хорошо» не может быть меньше 50 тысяч. На этом канале вы найдёте именно такие вакансии.;40580;https://tgstat.ru/channel/@Well_paid_Job;channel
devjobs;https://t.me/s/devjobs;Game Development Jobs;GameDev вакансии и не только. Размещение резюме и рекламы.;40116;https://tgstat.ru/channel/@devjobs;channel
talentedpeoples;https://t.me/s/talentedpeoples;Работа талантам + удаленка и фриланс;Агрегатор вакансий без посредников;39451;https://tgstat.ru/channel/@talentedpeoples;channel
t_crew;https://t.me/s/t_crew;T-Crew;Рассказываем про ИТ-команду Т и делимся актуальными вакансиями в проекты и команды по всей России.;39235;https://tgstat.ru/channel/@t_crew;channel
GetClient;https://t.me/s/GetClient;GetClient | Фриланс вакансии;Купить рекламу:;38878;https://tgstat.ru/channel/@GetClient;channel
perezvonyu;https://t.me/s/perezvonyu;Мы вам перезвоним;Свежие вакансии из digital и media с прямыми контактами работодателей;38713;https://tgstat.ru/channel/@perezvonyu;channel
rekamore_su;https://t.me/s/rekamore_su;Вакансии для моряков;‍️ Следите за актуальными вакансиями:;36959;https://tgstat.ru/channel/@rekamore_su;channel
designwork_vacansii;https://t.me/s/designwork_vacansii;ВАКАНСИИ ДЛЯ ДИЗАЙНЕРА | РАБОТА;Лучший канал с вакансиями для дизайнеров.;36398;https://tgstat.ru/channel/@designwork_vacansii;channel
vacancysmm;https://t.me/s/vacancysmm;SMM работа, вакансии, фриланс;Свежие вакансии для smmщиков, таргетологов, директологов и других digital-специалистов каждый день!;35323;https://tgstat.ru/channel/@vacancysmm;channel
frilancekomfort;https://t.me/s/frilancekomfort;Работа в комфорте🧘‍♀;Выставляйте объявления:;35270;https://tgstat.ru/channel/@frilancekomfort;channel
work_from_lina;https://t.me/s/work_from_lina;фриланс | удаленка | онлайн вакансии;Канал создан для поиска сотрудников и предложения услуг;34527;https://tgstat.ru/channel/@work_from_lina;channel
proffreelancee;https://t.me/s/proffreelancee;НАСТОЯЩИЙ ФРИЛАНС | Удаленная Работа;Свежие вакансии в мире фриланса;33537;https://tgstat.ru/channel/@proffreelancee;channel
foranalysts;https://t.me/s/foranalysts;Job for Analysts & Data Scientists;Вакансии для Digital-аналитиков и Data scientists.;32628;https://tgstat.ru/channel/@foranalysts;channel
Work4writers;https://t.me/s/Work4writers;Work for writers;РКН: N°5033900786;32105;https://tgstat.ru/channel/@Work4writers;channel
ya_jobs;https://t.me/s/ya_jobs;Яндекс нанимает | Вакансии для разработчиков;Актуальные вакансии для разработчиков в Яндекс;32044;https://tgstat.ru/channel/@ya_jobs;channel
self_ma;https://t.me/s/self_ma;Копирайтер, редактор — удаленная работа;Вакансии: удаленка для авторов, копирайтеров, редакторов;31995;https://tgstat.ru/channel/@self_ma;channel
digital_rabota;https://t.me/s/digital_rabota;Я работаю в digital, детка 🚀;Рай для digital-специалистов. Находим самые сочные заказы и вакансии для разработчиков, дизайнеров, сммщиков и других специалистов с диджитала.;31812;https://tgstat.ru/channel/@digital_rabota;channel
hr_affiliate;https://t.me/s/hr_affiliate;CPA HUNTER | Вакансии арбитража трафика;Актуальные вакансии и резюме в сферах: IT, CPA, SEO, SMM, affiliate маркетинг, арбитраж трафика.;31465;https://tgstat.ru/channel/@hr_affiliate;channel
forchiefs;https://t.me/s/forchiefs;Job for Chiefs (TOP vacancies);Вакансии для ТОП менеджеров в ИТ и Диджитал;30673;https://tgstat.ru/channel/@forchiefs;channel
textodromo;https://t.me/s/textodromo;Текстодром: копирайтер, переводчик, редактор, журналист, сммщик и пиарщик, UX-писатель;Помогаем быстро закрывать вакансии, связанные с текстом/маркетингом;30100;https://tgstat.ru/channel/@textodromo;channel
sci_career;https://t.me/s/sci_career;Sci_Career;Самые интересные и свежие карьерные возможности из мира науки и просвещения. Мы размещаем только релевантные позиции.;30040;https://tgstat.ru/channel/@sci_career;channel
sova_freelance;https://t.me/s/sova_freelance;СОВА на ФРИЛАНСЕ 🦉;Вакансии, резюме и реклама в @sova_freelance  - пишите @sovanafreelanceadmin;29267;https://tgstat.ru/channel/@sova_freelance;channel
product_jobs;https://t.me/s/product_jobs;Вакансии для продактов и проджектов;Как опубликовать вакансию: https://t.me/product_jobs/267;29167;https://tgstat.ru/channel/@product_jobs;channel
digital_hr;https://t.me/s/digital_hr;DigitalHR (ДиджиталлЭйчАр): работа | вакансии | рекрутинг | стартапы;Канал рекрутингового агентства DigitalHR (ДиджиталлЭйчАр).;29133;https://tgstat.ru/channel/@digital_hr;channel
RestorHoreca;https://t.me/s/RestorHoreca;Работа в Restor Horeca.ru;Канал по поиску работы.;29020;https://tgstat.ru/channel/@RestorHoreca;channel
mtsfintechjobs;https://t.me/s/mtsfintechjobs;MTS Fintech IT&Digital Jobs;Рассказываем о работе в МТС Финтех, делимся вакансиями, новостями и лайфхаками.;28899;https://tgstat.ru/channel/@mtsfintechjobs;channel
youritjob;https://t.me/s/youritjob;IT Работа: Сербия и удаленка Lenkep 🔥;Разместить вакансию или рекламу: @lenkep_HR;28784;https://tgstat.com/ru/channel/@youritjob;channel
juno_jobs;https://t.me/s/juno_jobs;junojobs → стажировки в IT;Вакансии и стажировки для junior и intern it-специалистов на удаленке.;28604;https://tgstat.com/ru/channel/@juno_jobs;channel
work_editor;https://t.me/s/work_editor;Работа с текстами — вакансии;Работа для копирайтеров, авторов, редакторов и шеф-редакторов.;28455;https://tgstat.ru/channel/@work_editor;channel
mediajobs_ru;https://t.me/s/mediajobs_ru;mediajobs | вакансии;Топовые вакансии в телеграме.;27401;https://tgstat.ru/channel/@mediajobs_ru;channel
vakansii_it;https://t.me/s/vakansii_it;Вакансии айти IT 💻;Заявки принимаются быстро;27308;https://tgstat.ru/channel/@vakansii_it;channel
spbrabota;https://t.me/s/spbrabota;Работа в СПб | Санкт-Петербурге;Найди работу в СПб;26903;https://tgstat.ru/channel/@spbrabota;channel
workzilla_vacancies;https://t.me/s/workzilla_vacancies;Вакансии Workzilla — Удаленная работа | Фриланс;Более 15 уникальных вакансий удаленной работы в день! Подпишитесь, чтобы первыми получать свежие предложения о работе.;26714;https://tgstat.ru/channel/@workzilla_vacancies;channel
motionhunter;https://t.me/s/motionhunter;Motion designer hunter;Фриланс, вакансии, резюме в сфере CG (моушен-дизайн, AI, VFX) и видеомонтажа;26326;https://tgstat.ru/channel/@motionhunter;channel
grinternru;https://t.me/s/grinternru;Grintern: стажировки в digital и медиа;РКН: №6214423084;26294;https://tgstat.ru/channel/@grinternru;channel
diworkru;https://t.me/s/diworkru;DIwork | удаленная работа, фриланс;Вакансии на удаленную работу и фриланс.;25981;https://tgstat.ru/channel/@diworkru;channel
careerfedoroff;https://t.me/s/careerfedoroff;Fedoroff | Вакансии для ТОП | Помощь в трудоустройстве.;Только управленцы и ТОПы.;25861;https://tgstat.ru/channel/@careerfedoroff;channel
remotejun;https://t.me/s/remotejun;Remote Junior (INFLOW);Вакансии для junior специалистов в it на удаленку. Публикация вакансий, вп, реклама - пишите @courierus;25861;https://tgstat.ru/channel/@remotejun;channel
razoomjobs;https://t.me/s/razoomjobs;RazoomJobs | Вакансии – EdTech, International;Удаленка, релокации, EdTech.;25746;https://tgstat.ru/channel/@razoomjobs;channel
finexecutive;https://t.me/s/finexecutive;FinExecutive #1 in finance jobs;Вакансии и советы для профессионалов в области финансов, инвестиций, консалтинга и IT в одном месте! Для связи : nz@finexecutive.com;25231;https://tgstat.ru/channel/@finexecutive;channel
astya_r;https://t.me/s/astya_r;ПОМОГАТОР | ФРИЛАНС | ВАКАНСИИ | УДАЛЕНКА;Профессиональное сообщество заказчиков и исполнителей;24824;https://tgstat.ru/channel/@astya_r;channel
FreelanceBay;https://t.me/s/FreelanceBay;Бухта Фриланса;Проекты и долгосрочная работа. Помогаем быстро закрывать вакансии;24820;https://tgstat.ru/channel/@FreelanceBay;channel
loomsu;https://t.me/s/loomsu;Loom - Удаленная работа;Поможем вам полюбить удалёнку.;24704;https://tgstat.ru/channel/@loomsu;channel
frilans_na_legke;https://t.me/s/frilans_na_legke;ФРИЛАНС НАЛЕГКЕ;Отборная подборка фриланс вакансий!;24337;https://tgstat.ru/channel/@frilans_na_legke;channel
theypaywell;https://t.me/s/theypaywell;Вакансии с ЗП выше 100 тысяч;Работа и вакансии с зарплатой выше 100 000 рублей.;24153;https://tgstat.ru/channel/@theypaywell;channel
bbe_jobs;https://t.me/s/bbe_jobs;Точка входа;Медиа для тех, кто развивается в креативной индустрии. № 6181882024 в РКН;23928;https://tgstat.ru/channel/@bbe_jobs;channel
normremote;https://t.me/s/normremote;Норм удалёнка;Вакансии с удалённой работой;23629;https://tgstat.ru/channel/@normremote;channel
pratsa_vakansiig;https://t.me/s/pratsa_vakansiig;Работа в Гродно;Опубликовать вакансию или рекламу:;23174;https://by.tgstat.com/channel/@pratsa_vakansiig;channel
linguohunter;https://t.me/s/linguohunter;LinguoHunter | Вакансии для переводчиков;Присылайте текст вакансии админу: @LinguoSupport;23013;https://tgstat.ru/channel/@linguohunter;channel
runello_rus_webdevelopment;https://t.me/s/runello_rus_webdevelopment;Web-Development Job Offers;Поиск работы — в одном понятном сценарии.;22394;https://tgstat.ru/channel/@runello_rus_webdevelopment;channel
practicum_experts;https://t.me/s/practicum_experts;+1 в команду Яндекс Практикума;Рассказываем про команду и наш подход к работе в edtech, делимся полезным и всегда ищем тех, кто разделяет наши ценности;22385;https://tgstat.ru/channel/@practicum_experts;channel
seohr;https://t.me/s/seohr;SEO HR, digital-вакансии, офис и удалёнка;Разместить вакансию: t.me/seohr/911;22281;https://tgstat.ru/channel/@seohr;channel
pratsa_vakansiim;https://t.me/s/pratsa_vakansiim;Работа в Могилеве;Опубликовать вакансию или рекламу:;22101;https://by.tgstat.com/channel/@pratsa_vakansiim;channel
avito_jobs;https://t.me/s/avito_jobs;Авито Работа;Самый душевный канал для работодателей и HR ️‍🩹;21912;https://tgstat.ru/channel/@avito_jobs;channel
Arbitrazh_vakansii_rabota;https://t.me/s/Arbitrazh_vakansii_rabota;Арбитраж. Все вакансии в одном месте. Lenkep;Вакансии для специалистов по арбитражу  в одном месте;21773;https://tgstat.ru/channel/@Arbitrazh_vakansii_rabota;channel
forallmedia;https://t.me/s/forallmedia;Job for Media & Content;Вакансии для редакторов, журналистов, копирайтеров и контент-менеджеров.;21613;https://tgstat.ru/channel/@forallmedia;channel
MPmanagers;https://t.me/s/MPmanagers;Менеджеры маркетплейсов | Вакансии;Ежедневная публикация свежих вакансий, а так же резюме от опытных специалистов.;21608;https://tgstat.ru/channel/@MPmanagers;channel
rabota_v_gamedeve;https://t.me/s/rabota_v_gamedeve;Работа в геймдеве (вакансии);Паблик https://vk.com/rabota_v_gamedeve;21538;https://tgstat.ru/channel/@rabota_v_gamedeve;channel
job_python;https://t.me/s/job_python;Python Job | Вакансии | Стажировки;Все каналы и цены - @best_ITjob / neironka.ru;21398;https://tgstat.ru/channel/@job_python;channel
hrhubvacancy;https://t.me/s/hrhubvacancy;HR[хаб]вакансии;HR вакансии с ЗП от 150 тр в месяц;21323;https://tgstat.ru/channel/@hrhubvacancy;channel
fordesigner;https://t.me/s/fordesigner;Job for Designers;Вакансии для Дизайнеров, Арт-директоров, UX/UI проектировщиков.;21221;https://tgstat.ru/channel/@fordesigner;channel
uvetrovoi;https://t.me/s/uvetrovoi;ФРИЛАНС;Я подготовила всё необходимое, чтобы вам было комфортно находить заказы, публиковать вакансии и размещать рекламу.;20998;https://tgstat.ru/channel/@uvetrovoi;channel
smmlancer;https://t.me/s/smmlancer;SMMLANCER - работа в соц.сетях!;Сообщество людей, работающих в социальных сетях.;20979;https://tgstat.ru/channel/@smmlancer;channel
toplevel_job;https://t.me/s/toplevel_job;TOP LEVEL JOB [топ вакансии для руководителей];www.olgapoldner.com;20715;https://tgstat.ru/channel/@toplevel_job;channel
forallqa;https://t.me/s/forallqa;Job for QA;Вакансии для Тестировщиков (Ручных и автоматизаторов), QA и TestOps.;20654;https://tgstat.ru/channel/@forallqa;channel
Ludivkulture;https://t.me/s/Ludivkulture;Люди в Культуре | Вакансии;Вакансии в сфере культуры и креативных индустриях. Найти работу в музее, театре, КЦ, библиотеке можно через проект «Люди в культуре».;20619;https://tgstat.ru/channel/@Ludivkulture;channel
remotegeekjob;https://t.me/s/remotegeekjob;RemoteGeekjob;Remote вакансии для ИТ и Диджитал специалистов.;20439;https://tgstat.ru/channel/@remotegeekjob;channel
workvc;https://t.me/s/workvc;джоб оффер | Подработка;Интересные вакансии и стажировки из сферы диджитал, медиа и айти.;20243;https://tgstat.ru/channel/@workvc;channel
datasciencejobs;https://t.me/s/datasciencejobs;Data Science Jobs;Лучшие вакансии по темам Data Science, машинного обучения, нейросетей, искусственного интеллекта, компьютерного зрения, сбора, обработки и анализа данных.;20043;https://tgstat.ru/channel/@datasciencejobs;channel
digital_jobster;https://t.me/s/digital_jobster;Джобстер Digital | Маркетинг | Вакансии и резюме;Для размещения пиши: @digital_make;19800;https://tgstat.ru/channel/@digital_jobster;channel
devops_jobs_feed;https://t.me/s/devops_jobs_feed;Devops Jobs — вакансии и резюме;Вакансии из @devops_jobs;19786;https://tgstat.ru/channel/@devops_jobs_feed;channel
joboneC;https://t.me/s/joboneC;Р1: Premium. Вакансии 1С для Синьоров;Вакансии 1С для синьоров;19489;https://tgstat.ru/channel/@joboneC;channel
Getitrussia;https://t.me/s/Getitrussia;Get IT;самыe топовые и актуальные новости в IT и разработке;19343;https://tgstat.ru/channel/@Getitrussia;channel
rdm_channel;https://t.me/s/rdm_channel;Работа для музыкантов;Крупнейший канал с вакансиями для музыкантов. Уникальные предложения каждый день. Сотрудничество, реклама, прислать вакансию — @nikitakizey;19293;https://tgstat.ru/channel/@rdm_channel;channel
rabota_360;https://t.me/s/rabota_360;БИРЖА ТРУДА | вакансии резюме - удаленная работа;Вакансии по УДАЛЁННОЙ РАБОТЕ;19240;https://tgstat.ru/channel/@rabota_360;channel
vakansi_rus;https://t.me/s/vakansi_rus;Creative Freelancer;Заказы для графических дизайнеров, UI/UX-дизайнеров и таргетологов. Чёткие брифы, прямые заказчики, без воды;19114;https://tgstat.ru/channel/@vakansi_rus;channel
rabotakras123;https://t.me/s/rabotakras123;Работа в Краснодаре;Только актуальные вакансии города!;19078;https://tgstat.ru/channel/@rabotakras123;channel
workk_onstream;https://t.me/s/workk_onstream;WORK ON | STREAM;Самые актуальные вакансии в режиме «здесь и сейчас»!;19040;https://tgstat.ru/channel/@workk_onstream;channel
forallmarketing;https://t.me/s/forallmarketing;Job for Marketing;Вакансии в Диджитал маркетинге.;19025;https://tgstat.ru/channel/@forallmarketing;channel
rabota_illustrator;https://t.me/s/rabota_illustrator;Ищу ИЛЛЮСТРАТОРА фриланс;Регистрация канала № 5985724148;18644;https://tgstat.ru/channel/@rabota_illustrator;channel
rabota38irk;https://t.me/s/rabota38irk;Работа 38 | Вакансии и резюме;Главный канал для поиска работы и сотрудников в Иркутской области: вакансии и резюме от работодателей и соискателей.;18392;https://tgstat.ru/channel/@rabota38irk;channel
ugskpm;https://t.me/s/ugskpm;Работа в Правительстве Москвы;#DGEZF;18138;https://tgstat.ru/channel/@ugskpm;channel
cryptoheadhunter;https://t.me/s/cryptoheadhunter;Крипто HeadHunter | WEB 3 Jobs;Здесь вы сможете найти интересные вакансии и резюме в WEB3;18058;https://tgstat.ru/channel/@cryptoheadhunter;channel
MyGigOfficial;https://t.me/s/MyGigOfficial;MyGig — работа и подработка;MyGig — платформа подработок для тех, кто получает доход официально, без опыта и резюме: скачали 1 600 000+!;17959;https://tgstat.ru/channel/@MyGigOfficial;channel
rabotavispanii;https://t.me/s/rabotavispanii;РАБОТА В ИСПАНИИ;Работа в Испании. Поиск работы и работников по всей стране.;17779;https://tgstat.com/ru/channel/@rabotavispanii;channel
workfortop;https://t.me/s/workfortop;Work For TOP Вакансии для руководителей;Канал карьерного консультанта:;17735;https://tgstat.ru/channel/@workfortop;channel
vacanciesrus;https://t.me/s/vacanciesrus;Digital вакансии в Telegram;Стоимость размещения 600 рублей. Оплата: https://yoomoney.ru/to/410011413016613;17625;https://tgstat.ru/channel/@vacanciesrus;channel
myshift_podrabotka;https://t.me/s/myshift_podrabotka;Моя смена - подработка рядом с домом;Рассказываем о новом способе найти подработку рядом с домом, через приложение «Моя Смена».;17616;https://tgstat.ru/channel/@myshift_podrabotka;channel
trudoxrana;https://t.me/s/trudoxrana;Работа Охрана;Вакансии Охраны и Резюме Сотрудников. Поиск работы и сотрудников . Для размещения объявления  @oxranaAdmin;17368;https://tgstat.ru/channel/@trudoxrana;channel
digitaltender;https://t.me/s/digitaltender;DIGITAL Tender / freelance / фриланс;Работа для фрилансеров;17232;https://tgstat.ru/channel/@digitaltender;channel
dsgnworkers;https://t.me/s/dsgnworkers;Дизайн работа;Отбираем лучшие вакансии для дизайнеров (удаленка/офис/релокация).;17227;https://tgstat.ru/channel/@dsgnworkers;channel
SportHunter;https://t.me/s/SportHunter;SportHunter. Работа в спорте;Работа в спорте. Сотни вакансий для всех кто желает работать и развиваться в спортивной индустрии;17135;https://tgstat.ru/channel/@SportHunter;channel
rabotauvalery;https://t.me/s/rabotauvalery;Вакансии у Валеры;Здесь собраны вакансии из  благотворительности, НКО и не только.;16922;https://tgstat.ru/channel/@rabotauvalery;channel
designer_work;https://t.me/s/designer_work;Design WORK;"Проект ""Design WORK"" найдет тебе работу";16552;https://tgstat.ru/channel/@designer_work;channel
msk_rabota;https://t.me/s/msk_rabota;Работа в Москве;Поиск работы и сотрудников в Москве;16523;https://tgstat.ru/channel/@msk_rabota;channel
horecahr;https://t.me/s/horecahr;HRC HR;Лучшие вакансии для линейных руководителей и хостес;16122;https://tgstat.ru/channel/@horecahr;channel
rabota154NsK;https://t.me/s/rabota154NsK;Грузчики Новосибирск Работа Нск;Правила группы ️;16106;https://tgstat.ru/channel/@rabota154NsK;channel
HRorHR;https://t.me/s/HRorHR;эйчарли | HR вакансии;Вакансии и предложения для Эйчаров ‍;16021;https://tgstat.ru/channel/@HRorHR;channel
spb_rabota;https://t.me/s/spb_rabota;Работа в Санкт-Петербурге | СПб;Поиск работы и сотрудников в СПб;15937;https://tgstat.ru/channel/@spb_rabota;channel
expomodels;https://t.me/s/expomodels;Работа для хостес в Москве;Работа и вакансии для хостес:;15501;https://tgstat.ru/channel/@expomodels;channel
aestheticsoflawjob;https://t.me/s/aestheticsoflawjob;Вакансии для юристов (стажировки, госслужба);Никаких вакансий первичного приёма;15373;https://tgstat.ru/channel/@aestheticsoflawjob;channel
devs_it;https://t.me/s/devs_it;IT Jobs | Вакансии в IT;Вакансии отобраны от проверенные IT-компании;15314;https://tgstat.ru/channel/@devs_it;channel
chooseajob;https://t.me/s/chooseajob;Выбери Работу: работа - вакансии;Помогаем строить карьеру.;15063;https://tgstat.ru/channel/@chooseajob;channel
job_react;https://t.me/s/job_react;React Job | JavaScript | Вакансии;Другие каналы с вакансиям - @best_ITjob;14994;https://tgstat.ru/channel/@job_react;channel
